Source,Sink,common_neighbors,AAprediction,exist_in_training_dataset,source_parents_count,source_non_leaf_descendants_count,source_leaf_descendans_count,sink_parent_non_leaf_descendants_count,sink_parent_leaf_descendans_count,sink_parents_count
26729,4187899,5,0.6031832590085732,1,25,49.0,47.0,138991,757743,657
26738,2874002,6,0.5318247558764144,1,37,53.0,149.0,65011,4570867,48
26738,3537092,12,1.094362699887684,1,37,53.0,149.0,142914,5892094,197
26738,3983683,50,7.2445496538886704,1,37,53.0,149.0,322015,11116577,506
27288,1881477,3,0.3534099573853835,1,91,9.0,201.0,37732,720441,45
27288,4735166,2,0.246301060973303,1,91,9.0,201.0,4025,156479,9
28366,1721824,6,0.951217381294111,1,20,22.0,209.0,7864,777379,19
28366,3043276,1,0.1525801283525007,1,20,22.0,209.0,1835,54616,10
28681,475544,8,0.7533459368967386,1,137,134.0,437.0,25878,1627099,22
28681,2332893,46,4.840160384675782,1,137,134.0,437.0,572122,7081322,2431
28681,3398706,13,1.440733294908244,1,137,134.0,437.0,53113,613501,92
28681,4210392,95,9.708284187680132,1,137,134.0,437.0,453155,14001011,1054
28681,4332238,10,0.9362988179981848,1,137,134.0,437.0,46596,1920580,62
29293,4049029,9,1.3141710930069472,1,8,41.0,64.0,132420,2948307,246
29361,457419,64,11.284454351537654,1,88,37.0,208.0,290552,4454090,767
29361,2569274,107,21.42168673986365,1,88,37.0,208.0,45432,1622299,99
29361,2871771,17,2.26765359339781,1,88,37.0,208.0,32264,687204,36
29765,4813076,53,7.681268166940223,1,48,60.0,161.0,493041,4719539,2203
29959,4576901,24,5.618030077912442,1,46,54.0,5.0,1992,1632,31
30083,4020232,1,0.18418425871932848,1,8,19.0,67.0,1273,61813,3
30168,1977963,5,0.8813794846642047,1,53,52.0,59.0,10021,159378,39
30261,3070150,24,3.471708732597566,1,34,69.0,81.0,32097,374221,106
31591,1113867,2,0.23520960843663266,1,14,10.0,159.0,939,27322,5
31699,314924,8,0.9584162065486764,1,106,85.0,395.0,84874,1820836,446
31699,1459936,2,0.20829184699725647,1,106,85.0,395.0,12358,692270,13
32313,1816482,2,0.2043206114833766,1,9,9.0,216.0,6132,771123,5
32313,2138440,3,0.3594346372824172,1,9,9.0,216.0,206636,2899857,1117
32517,1161531,3,0.7317975982170137,1,134,120.0,274.0,214,331,4
32517,2567101,11,1.5630633186225555,1,134,120.0,274.0,153196,4316224,230
32517,3289606,53,12.096990332334187,1,134,120.0,274.0,13587,205510,46
32517,4824240,6,1.214475387520667,1,134,120.0,274.0,538,736,7
32912,1013786,1,0.1297890214586032,1,84,58.0,483.0,1766,66996,5
32912,3235989,302,99.39139011397651,1,84,58.0,483.0,123519,3924299,149
32912,4233852,12,1.2448506858850124,1,84,58.0,483.0,43450,976701,57
33423,503379,2,0.3696645401142107,1,39,87.0,174.0,1163,23633,4
34017,3706991,2,0.16394720265253893,1,466,64.0,233.0,9799,558155,4
34371,2286883,1,0.09086603972658462,1,84,63.0,78.0,44281,2002854,58
34371,3167104,16,2.4375348850592555,1,84,63.0,78.0,4996,46821,12
34371,3514200,9,1.3313795877042078,1,84,63.0,78.0,5136,24279,23
37527,1149539,32,4.341256576685422,1,50,48.0,35.0,203566,3034582,610
37527,3202060,5,0.8540273676176617,1,50,48.0,35.0,8260,1168995,11
38132,2673081,2,0.1947946642955136,1,17,16.0,34.0,108761,1398535,480
38132,4034899,2,0.31704128482550736,1,17,16.0,34.0,16447,810133,61
38162,4679138,1,0.1643520579278993,1,5,25.0,146.0,72,703,4
38947,2556977,2,0.2768410886093837,1,39,71.0,162.0,26749,800600,55
39307,1284757,1,0.2263037046947565,1,17,20.0,60.0,36,126,2
39699,853549,27,4.080584079512725,1,47,57.0,245.0,14339,289277,52
39699,4576838,21,3.1302659342884134,1,47,57.0,245.0,11065,1218353,35
39963,1488244,7,1.0057666939314172,1,20,37.0,100.0,14246,41655,91
41844,2249595,15,2.725007199077102,1,19,26.0,53.0,21546,107483,84
42898,2261046,2,0.2448805332469396,1,54,65.0,193.0,1521,43812,5
42898,4190572,15,2.364819300075636,1,54,65.0,193.0,10285,156836,56
43778,1066146,1,0.1435344792223236,1,41,57.0,342.0,6855,1266770,6
43778,3154807,8,1.1458441519755642,1,41,57.0,342.0,62820,3372576,65
43778,3992506,2,0.2478712813007979,1,41,57.0,342.0,7175,813982,6
44026,2194084,75,12.109978015888805,1,79,45.0,60.0,245701,2969776,1592
44884,718140,1,0.12873143548067756,1,5,26.0,149.0,5668,142388,13
44884,1258847,1,0.12873143548067756,1,5,26.0,149.0,13320,974906,12
46005,3735027,11,1.7158346870908567,1,32,39.0,200.0,167063,2798160,332
46347,616378,18,3.769563946352968,1,26,21.0,134.0,92677,2086615,174
46754,3241684,8,1.1312482892603215,1,19,19.0,132.0,12354,149662,42
46754,3505295,2,0.19932411042308368,1,19,19.0,132.0,48807,2241953,60
46893,1146113,4,0.477373102843395,1,63,115.0,174.0,36519,1733095,35
46893,2852615,8,0.8923913360541136,1,63,115.0,174.0,28770,603393,37
46893,4178150,5,0.6878623206274825,1,63,115.0,174.0,9713,40681,62
47024,4494976,8,1.4986349733857058,1,37,77.0,151.0,65844,933246,286
47224,1282675,2,0.24941465372621,1,84,172.0,118.0,810,10297,3
47224,2344702,1,0.14251897213199408,1,84,172.0,118.0,519,4149,4
48038,3663392,7,1.151289967720849,1,42,67.0,43.0,15909,294697,116
48042,702692,41,6.219167767431363,1,201,115.0,117.0,17049,827494,80
48198,3088232,33,4.332957003687812,1,30,102.0,290.0,594695,5537091,2605
48198,3655843,1,0.08558311129886607,1,30,102.0,290.0,25080,451960,149
49577,1986883,7,0.9397138848829452,1,94,87.0,141.0,23591,345702,43
50475,247783,4,0.5879011462696248,1,12,15.0,60.0,418117,3750530,2358
50475,3818735,4,0.5551685431182352,1,12,15.0,60.0,7419,51229,19
51153,1288240,10,1.3038920998292065,1,53,140.0,61.0,178690,1982686,780
51153,2970071,27,4.18013542332321,1,53,140.0,61.0,25556,310875,80
51735,1884559,1,0.15051650340629058,1,3,11.0,272.0,1324,15393,6
52360,3457629,8,0.8639737099471637,1,13,36.0,103.0,125916,4385094,176
53434,1839087,2,0.3056587096476998,1,16,57.0,325.0,3529,11524,25
53434,2654094,18,3.108132586895078,1,16,57.0,325.0,28800,907953,155
54650,1787361,35,4.4634209032637395,1,86,28.0,107.0,111959,2648413,172
54966,1420569,61,8.779201740634004,1,54,88.0,103.0,160844,1963436,421
54966,2055451,7,0.8862949551005359,1,54,88.0,103.0,32279,792550,46
54966,3323447,3,0.340901106333495,1,54,88.0,103.0,41603,1374616,169
55044,2966692,2,0.3895802699170894,1,16,15.0,85.0,61,383,3
55715,1139895,17,2.537383227532055,1,54,145.0,320.0,30496,846540,149
55715,3257141,15,2.161650326418589,1,54,145.0,320.0,30132,986204,107
55715,3703565,19,2.632176384318288,1,54,145.0,320.0,112030,2768609,337
57993,1031508,1,0.10177572161263504,1,43,61.0,503.0,15278,414037,31
57993,1450747,11,1.1964477336711286,1,43,61.0,503.0,106956,4529270,124
57993,2859481,1,0.12983464724049326,1,43,61.0,503.0,5266,119343,11
57993,3320044,5,0.5910931733258458,1,43,61.0,503.0,31232,1156844,42
57993,3358451,1,0.09068940734870236,1,43,61.0,503.0,41303,1738296,85
57993,3939699,2,0.22041573818750027,1,43,61.0,503.0,5793,94861,9
60055,3258494,26,4.470719141189301,1,55,40.0,72.0,13999,80366,48
62006,1585427,5,2.5181135157909007,1,15,28.0,104.0,75186,1370752,190
62113,2175445,6,1.0248701480796178,1,55,37.0,13.0,3327,17666,9
62120,528253,36,4.512611001201512,1,222,209.0,207.0,86249,1776329,122
63419,2795881,111,18.46824071768605,1,171,77.0,58.0,118713,687584,568
63441,1470776,12,1.8189877431115853,1,118,24.0,79.0,7443,484096,31
63441,4503758,22,2.6405944344962413,1,118,24.0,79.0,128243,3441967,301
63811,4421031,6,0.9900158080997874,1,47,18.0,33.0,1177,11197,12
63869,2115254,3,0.6865141249118949,1,25,40.0,23.0,175,175,4
63869,2506342,4,1.0587304705070288,1,25,40.0,23.0,47058,1873623,138
64365,228484,4,0.4518447903370623,1,7,12.0,86.0,123859,6087889,169
65427,201039,20,3.220700706845404,1,13,105.0,172.0,294193,2368074,1794
65427,3587252,3,0.4722253706990396,1,13,105.0,172.0,725,1950,7
65477,2773309,21,4.138065472018081,1,24,30.0,60.0,96542,3221861,154
65477,3651926,1,0.10590879112854072,1,24,30.0,60.0,15467,88687,45
66030,4585063,21,5.1443050098294965,1,45,75.0,17.0,1571,2871,11
66949,344820,5,0.93361637170898,1,15,31.0,43.0,2680,28711,17
66949,4752885,2,0.3633161472130043,1,15,31.0,43.0,1732,48458,9
67665,548256,4,0.4692693111017845,1,34,81.0,103.0,66496,2081702,103
67665,2370303,3,0.4216777570347202,1,34,81.0,103.0,10126,166710,19
67665,4076163,7,0.9132612574157408,1,34,81.0,103.0,36039,694425,76
68401,254788,17,2.471605386543934,1,73,38.0,34.0,28923,219859,142
68401,2458095,45,7.229656505439758,1,73,38.0,34.0,20794,143906,113
68717,2010812,60,9.559577589624269,1,474,167.0,166.0,23138,94627,85
68717,3094939,43,7.031042925409178,1,474,167.0,166.0,8895,25576,65
68717,3783023,12,1.900495013442923,1,474,167.0,166.0,12381,245671,60
69197,181110,1,0.2302128900546512,1,9,7.0,52.0,14,120,2
69235,3932286,1,0.14320774094974673,1,7,14.0,63.0,30571,1038863,35
69528,1288354,3,0.3960429760859216,1,62,47.0,276.0,1239,26247,8
69528,3583252,2,0.28987011221766656,1,62,47.0,276.0,397,2342,4
69528,4558830,46,8.56844920480669,1,62,47.0,276.0,20575,197208,76
73065,204018,7,1.0394933286968095,1,51,52.0,53.0,34920,2462415,51
74682,231225,14,2.3379555192048413,1,72,51.0,278.0,2998,17838,24
74682,1065643,64,13.303498110261724,1,72,51.0,278.0,28929,171909,116
74682,2608161,15,2.4442999559725203,1,72,51.0,278.0,1657,11127,16
74984,1635105,127,22.53589519416883,1,41,55.0,533.0,499837,13226778,1350
74984,2842778,14,1.279520717560257,1,41,55.0,533.0,205607,7435277,336
75278,2722112,19,2.2184961588316314,1,168,120.0,440.0,43111,2067449,50
75278,3190229,8,0.7631754021950979,1,168,120.0,440.0,44649,1827382,39
75278,3397645,102,13.720389624643767,1,168,120.0,440.0,322228,3863648,816
75278,3425899,4,0.5160710292402848,1,168,120.0,440.0,3599,37763,6
75278,3802796,41,4.624208911708664,1,168,120.0,440.0,113189,1970048,158
75278,3908811,6,0.8889433486416513,1,168,120.0,440.0,5351,117787,16
75278,4127924,21,2.2996052955470287,1,168,120.0,440.0,78104,1373764,88
75278,4223116,5,0.4465640769836052,1,168,120.0,440.0,22510,825925,19
75278,4393538,24,2.9714124660063748,1,168,120.0,440.0,45026,1643475,52
75388,858840,9,0.983041430512259,1,28,42.0,266.0,128793,3551204,207
75388,1409450,2,0.2306907550742002,1,28,42.0,266.0,25477,1292574,27
75388,3784621,2,0.21090436212441155,1,28,42.0,266.0,3987,166936,9
75388,4399583,18,2.098246140039108,1,28,42.0,266.0,64238,1845545,104
75794,3799681,33,9.217195378628867,1,39,45.0,261.0,47866,2901439,78
75794,4049802,55,16.23064915361909,1,39,45.0,261.0,45366,1671417,112
76456,454840,1,0.1541744080264767,1,4,23.0,190.0,25276,1610128,35
76456,3951237,1,0.18403591485650025,1,4,23.0,190.0,34902,3945414,29
76456,4085623,13,2.148940354284772,1,4,23.0,190.0,53518,539317,368
77035,3818010,14,3.1844891389666734,1,37,73.0,38.0,1011,776,15
77680,657747,21,2.411124863412764,1,113,178.0,209.0,93524,3458677,112
77680,2960047,33,4.730567114765189,1,113,178.0,209.0,47189,784628,97
77680,3876499,8,0.9110090946640821,1,113,178.0,209.0,98189,5359108,106
77680,4484630,8,1.2218696275590692,1,113,178.0,209.0,10371,54456,31
79235,764044,1,0.11242167892785954,1,14,4.0,37.0,1249,76653,5
81737,782127,1,0.16797566365891456,1,43,56.0,21.0,78649,441955,472
82078,4056397,2,0.5424539641615476,1,6,10.0,20.0,2593,52601,5
82392,2996956,7,1.245832297040426,1,25,20.0,33.0,3643,8253,19
83013,732747,2,0.2026856451779295,1,47,76.0,233.0,43232,912447,50
83013,1309703,3,0.3790881302070805,1,47,76.0,233.0,20522,748443,46
84726,1958896,3,0.2786573216160738,1,7,15.0,129.0,73297,3272843,121
84726,2372668,4,0.3770900715824751,1,7,15.0,129.0,19047,1179152,22
84783,3318630,101,19.512044893943536,1,97,78.0,76.0,30546,133490,159
84783,3500696,60,9.836810361343943,1,97,78.0,76.0,187242,3133805,473
84783,4107526,2,0.3008616725380984,1,97,78.0,76.0,8489,53767,45
85884,105196,3,0.4223274063702263,1,69,59.0,254.0,5048,45530,11
85884,518982,10,1.1062073584381913,1,69,59.0,254.0,116351,3576548,372
85884,639375,1,0.1340394476780132,1,69,59.0,254.0,4790,632426,14
85884,2554440,1,0.12197554932099687,1,69,59.0,254.0,614,3316,2
85884,3663160,20,3.5492167269999086,1,69,59.0,254.0,35742,1790035,77
85884,3779728,2,0.23616814793928995,1,69,59.0,254.0,9617,565018,9
87195,2100410,14,2.3061911437693103,1,257,117.0,328.0,12891,86442,74
87195,2120801,179,35.075571645998785,1,257,117.0,328.0,888554,13042544,3424
87759,3064769,2,0.2489346624256013,1,7,19.0,42.0,51428,448876,296
88570,860382,8,1.1361776062250897,1,8,122.0,140.0,31623,2370306,79
88570,2235073,2,0.2510124717291336,1,8,122.0,140.0,5289,29059,32
88570,2581436,2,0.3050871480471865,1,8,122.0,140.0,4110,62056,28
88570,4750152,89,15.819702368594664,1,8,122.0,140.0,72424,1659912,411
90348,4777334,3,0.30908441397130165,1,33,35.0,132.0,90852,2541865,121
91539,1242327,19,2.6596565092874207,1,21,59.0,128.0,299408,2655637,1769
91704,1253026,23,3.110267812674216,1,27,100.0,353.0,194111,2449221,549
91704,2831144,2,0.22884030769979785,1,27,100.0,353.0,8319,38454,14
91713,1292292,22,6.565679631830706,1,11,25.0,196.0,11243,530220,30
92226,1598258,1,0.22509081678177853,1,82,137.0,57.0,314,776,3
92226,2450568,25,3.314629341168058,1,82,137.0,57.0,42510,351624,98
92226,2683028,59,10.539346047127273,1,82,137.0,57.0,44169,1021044,105
92226,2873383,49,6.654707947963343,1,82,137.0,57.0,213222,7030037,417
92226,3278723,1,0.2103673139243114,1,82,137.0,57.0,174,77,2
92431,2740141,27,4.504035521090788,1,25,34.0,162.0,938760,14421564,4637
92431,4476249,4,0.601996408942599,1,25,34.0,162.0,1996,28096,9
93236,72282,18,3.1405262436013537,1,27,36.0,152.0,6634,27340,27
93236,3652639,1,0.17983406825924927,1,27,36.0,152.0,83,267,2
93311,3816854,4,0.45930747775078995,1,17,21.0,200.0,39200,1138324,53
94281,863518,11,1.0525863285772348,1,21,29.0,111.0,226464,7923707,381
94321,445422,2,0.21943488023470573,1,116,410.0,1.0,46170,1536449,118
94321,2929959,2,0.379198270543444,1,116,410.0,1.0,774,64,3
94321,3206172,12,1.7274494823431117,1,116,410.0,1.0,9784,59065,60
94321,3802588,23,3.703247724051292,1,116,410.0,1.0,28194,1642983,77
94838,2567439,2,0.2996484604516602,1,6,59.0,103.0,13477,809436,45
95604,3699999,1,0.13545094726033352,1,47,27.0,156.0,11232,202831,19
95788,1815572,5,0.5591542109774706,1,38,69.0,202.0,93067,2310276,152
95788,4489661,3,0.4114314943872738,1,38,69.0,202.0,6912,137490,9
95788,4678450,4,0.6232706852859922,1,38,69.0,202.0,9176,1158593,11
96407,3501099,15,2.3848747190295283,1,14,42.0,60.0,100866,1196551,228
98183,984830,4,0.3893960999409216,1,57,138.0,461.0,21396,1478202,34
98183,1855856,12,1.847285555650038,1,57,138.0,461.0,4204,27633,26
98183,3941941,2,0.3075258131304348,1,57,138.0,461.0,3517,97121,4
98183,4773780,5,0.6535221064739739,1,57,138.0,461.0,11423,310483,25
98781,2036665,7,0.8556693717449743,1,38,63.0,128.0,104300,4582450,172
98781,3159235,16,2.5736993519687434,1,38,63.0,128.0,3233,27008,21
99144,4007276,56,7.058086560782182,1,89,106.0,343.0,580727,6810270,2532
99556,2862044,2,0.21438555228900907,1,38,58.0,299.0,26071,616232,43
100501,3980424,7,0.6529453148860948,1,63,43.0,321.0,82888,2824581,117
100759,538482,53,7.709070343321978,1,177,47.0,158.0,29383,471477,140
100759,1808958,55,8.544738067011433,1,177,47.0,158.0,102372,3203596,235
100759,2148893,1,0.1379730433395053,1,177,47.0,158.0,9499,1063941,8
100759,4249861,62,11.006048481321557,1,177,47.0,158.0,72102,2024904,155
100854,3399220,1,0.09533549892928947,1,41,56.0,262.0,97633,2979724,140
100854,3844736,12,1.6643412101715194,1,41,56.0,262.0,2817,39346,16
100854,4386885,14,1.9183074762286303,1,41,56.0,262.0,8392,103448,23
100854,4851622,204,44.62732069696168,1,41,56.0,262.0,193084,4940901,434
101838,1047735,6,0.7409523069948105,1,57,72.0,247.0,48057,1428264,111
101838,2229080,13,1.8415788185218918,1,57,72.0,247.0,35062,622781,77
101838,3134085,16,2.6014399836135444,1,57,72.0,247.0,145896,991430,1204
101838,3829498,10,1.403222176452416,1,57,72.0,247.0,19517,251481,38
101838,4040763,12,1.5317298590205743,1,57,72.0,247.0,51786,717777,178
102181,3282149,1,0.14215877912380245,1,13,35.0,125.0,12398,161978,52
102620,735035,9,1.1779733447133955,1,50,81.0,284.0,58673,398843,176
102620,895129,6,0.8071659529621587,1,50,81.0,284.0,39049,1034704,51
102620,3951087,7,0.8716584882441324,1,50,81.0,284.0,16970,261868,40
102723,216877,1,0.1217565471621636,1,75,78.0,243.0,1223,16959,3
103113,4420255,10,6.1280102860274654,1,21,24.0,42.0,4768,161367,11
103287,2686951,14,2.2708335538536932,1,235,173.0,313.0,18062,1239429,77
103287,4760049,33,5.4565683475284645,1,235,173.0,313.0,13798,1321047,23
103916,1458474,5,0.6090362473090932,1,48,63.0,37.0,46287,695557,78
103916,4648861,1,0.2530848692773169,1,48,63.0,37.0,22255,2508840,29
106104,411993,2,0.34781106695184705,1,196,173.0,272.0,1146,3344,10
106104,1296850,8,1.2316988892239764,1,196,173.0,272.0,11315,896252,27
106104,1299015,215,38.312813232431886,1,196,173.0,272.0,248847,2431314,1196
106104,1379792,72,14.333288464935608,1,196,173.0,272.0,29749,1306572,107
106104,3955588,39,6.364352336155963,1,196,173.0,272.0,24266,825688,56
106953,457555,162,29.96062425788175,1,74,143.0,384.0,449786,8375554,1211
106953,1699324,184,29.793695617604843,1,74,143.0,384.0,587022,11238659,1591
106953,4201067,50,5.941742100399012,1,74,143.0,384.0,164892,3231045,294
108215,2137288,12,2.0521769058120887,1,50,156.0,139.0,26431,328745,193
108320,1507946,14,1.7885976033228008,1,102,96.0,498.0,15154,384022,22
108320,2716857,13,1.3317237758812392,1,102,96.0,498.0,44749,1645294,69
108320,4851622,314,65.11255554773322,1,102,96.0,498.0,193084,4940901,434
108800,414804,2,0.35239398325052035,1,51,58.0,44.0,970,4260,4
108800,3051819,9,1.2628713431072331,1,51,58.0,44.0,5676,27733,33
108800,4100772,9,1.3583266594150691,1,51,58.0,44.0,7386,142264,36
108882,1763327,9,2.405465681434838,1,3,8.0,59.0,461831,10003569,1530
109163,4565384,3,0.5872601746298687,1,24,2.0,12.0,6463,160190,17
110976,414391,5,0.6469458840822454,1,89,177.0,197.0,85996,480442,263
110976,1146906,85,12.775808304885686,1,89,177.0,197.0,188613,3910777,419
110976,3332284,11,1.3288606767864717,1,89,177.0,197.0,167707,3115732,395
110976,3877044,17,2.0518014543396883,1,89,177.0,197.0,82254,1651883,165
111709,2163240,21,2.6103764401680345,1,18,56.0,206.0,227202,5698966,401
111709,3739427,8,1.0794962535469852,1,18,56.0,206.0,59631,502601,258
111709,4008655,42,6.717155051340552,1,18,56.0,206.0,390099,6435645,957
111970,4739081,3,0.43310293812511214,1,278,152.0,316.0,2496,10025,12
111970,4805254,47,6.730598914774598,1,278,152.0,316.0,87320,1436027,304
112047,3392078,1,0.2275598066567093,1,8,4.0,81.0,435,2467,4
113182,2628408,129,21.38273536203721,1,278,81.0,42.0,79684,1124145,357
114610,41100,1,0.2452460618098304,1,9,21.0,90.0,17755,717112,15
115036,613099,23,3.79014261357837,1,31,127.0,122.0,75668,1493414,134
115036,3881841,4,0.4935396636866353,1,31,127.0,122.0,36926,811482,47
115613,2795159,17,2.598282749931609,1,2,132.0,167.0,41139,1842938,161
115613,3118335,4,0.6666832650037267,1,2,132.0,167.0,7565,79047,54
115613,3606549,4,0.6693128815678098,1,2,132.0,167.0,10888,53797,82
115665,880115,10,0.8990049016428028,1,77,121.0,242.0,81057,5090442,83
115665,1211536,13,1.1617373414400325,1,77,121.0,242.0,86640,4834302,82
115665,1706660,8,0.7268741028703429,1,77,121.0,242.0,62071,2088075,95
115665,3549335,15,1.3797967325403326,1,77,121.0,242.0,229606,8790069,361
115665,3830934,2,0.29566003217808545,1,77,121.0,242.0,21305,1231074,31
115665,4011215,5,0.4605259333033708,1,77,121.0,242.0,44240,771049,95
115942,3597269,3,0.4137697610363616,1,14,40.0,68.0,50842,2840821,86
117178,3807662,7,1.0043552712446098,1,59,81.0,391.0,2621,26618,15
117178,4089385,11,1.0515503661093226,1,59,81.0,391.0,143699,4644782,185
117401,167957,12,2.9748930082691385,1,14,14.0,11.0,433,2287,14
117464,711192,18,3.082444418293081,1,46,21.0,25.0,91286,1300102,166
118155,700167,123,18.082409267133386,1,134,132.0,368.0,170633,1849781,374
118155,1547716,4,0.3805324063763883,1,134,132.0,368.0,26727,1715009,23
